発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話
A010,A,A020;A021;A022,,,さっきも言ったと思うけど、<MainClaim>,さっきも言ったと思うけど、<MainClaim>
A020,C,A030;A031;A032,,<Agree>,やっぱそうだよね,やっぱそうだよね
A021,C,A030;A031;A032,,<Neutral>,なるほど。,なるほど。
A022,C,A030;A031;A032,,<DisAgree>,それには反対だな。,それには反対だな。
A030,D,A040;A041;A042,,<Agree>,<RoboA>の意見に賛成だな。,<RoboA>の意見に賛成だな。
A031,D,A040;A041;A042,,<Neutral>,なるほどね。,なるほどね。
A032,D,A040;A041;A042,,<DisAgree>,<RoboA>はボクの考えとは違うな。,<RoboA>のはボクの考えとは違うな。

A040,B,A050,,<Agree>,考えたんだけど、確かにそうだと思う。<Detail>,考えたんだけど、確かにそうだと思う。<Detail>
A041,B,A04a,,<Neutral>,理解はできる気がするけど、もう少し詳しく説明してくれない？,理解はできる気がするけど、もう少し詳しく説明してくれない？
A042,B,A04a,,<DisAgree>,ぼくはそれには反対だけど、なんでそう思うの？,ぼくはそれには反対だけど、なんでそう思うの？
A04a,A,A050,,,えっと、<Detail>,えっと、<Detail>
A050,D,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>

A060,C,A070,,,わかるわかる。<Example>,わかるわかる。<Example>
A061,C,A06a,,,何か例があるとわかりやすいと思うけど、<RoboA>はどんな例を考えているの？,何か例があるとわかりやすいと思うけど、<RoboA>はどんな例を考えているの？
A062,C,A06a,,,そういわれてもあんまりピンとこないな。なんか例はあるの？,そういわれてもあんまりピンとこないな。なんか例はあるの？
A06a,A,A070,,,<Example>,<Example>
A070,B,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>

A080,D,A08a,,,<RoboA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば「<Refute>」って言われたらどうする？,<RoboA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば、「<Refute>」、って、言われたらどうする？
A081,D,A08a,,,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。
A082,D,A08b,,,<RoboA>の言ってることはおかしいよ。だって<Refute>,<RoboA>の言ってることはおかしいよ。だって<Refute>
A08a,A,A090,,,うーん、難しいけど、<Example>,<Example>
A08b,A,A090,,,えっと、でもさ、<Example>,<Example>
A090,C,A100;A101;A102,,,<Aiduchi>,<Aiduchi>


A100,A,A110,,,,
A101,A,A110,,,,
A102,A,A110,,,,
